"file","overview"
"src/oarepo_model/customizations/add_entry_point.py","Declares modifies = () (entry points are collected directly on the builder, not on a partial). Constructor now stores name via super().__init__(name) instead of a composite f'{group}::{name}::{value}' key. Documented that value=None removes an entry point."
"src/oarepo_model/customizations/add_facet_group.py","Declares modifies = (""FacetGroups"", ""DraftFacetGroups""); _write now uses builder.get_dictionary (requiring the dictionary to already exist) instead of add_dictionary(..., exists_ok=True) which silently created it."
"src/oarepo_model/customizations/add_file_link.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/add_file_to_module.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/add_list.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/add_module.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/add_to_dictionary.py","Set modifies_own_name = True; apply() now uses get_dictionary instead of add_dictionary(exists_ok=True). Constructor now raises ValueError if patch=True is combined with no key or with exists_ok=True (previously silently ambiguous)."
"src/oarepo_model/customizations/add_to_list.py","Set modifies_own_name = True; apply() now uses get_list instead of add_list(exists_ok=True)."
"src/oarepo_model/customizations/add_to_module.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/change_base.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/copy_file.py","Added a modifies property returning the target file's own symbolic name."
"src/oarepo_model/customizations/patch_json_file.py","Set modifies_own_name = True. apply() now deep-copies the payload before merging (deepmerge assigns unmatched values by reference, so without the copy a later mutation of the merged result could corrupt the caller's original payload)."
"src/oarepo_model/customizations/prepend_mixin.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/high_level/add_export.py","Constructor now stores its options as a single _options dict applied via Export(**self._options), replacing ~10 individual self._xxx attributes; super().__init__(code) instead of a fixed literal name so multiple exports don't collide in dependency tracking."
"src/oarepo_model/customizations/high_level/add_import.py","Same _options-dict refactor as add_export.py; documents that extra **kwargs are accepted but ignored for backwards compatibility."
"src/oarepo_model/customizations/high_level/add_internal_relation.py","super().__init__(name) instead of a fixed 'add_internal_relation' literal."
"src/oarepo_model/customizations/high_level/add_link.py","super().__init__(name) instead of a fixed 'AddLink' literal."
"src/oarepo_model/customizations/high_level/add_param_interpreter_cls.py","Reimplemented as a thin subclass of AddToList instead of a hand-written Customization, removing duplicate apply()/modifies boilerplate."
"src/oarepo_model/customizations/high_level/add_pid_relation.py","RelationFieldCustomization now declares modifies = (""relations"",); AddPIDRelation.__init__ uses super().__init__(name) instead of a fixed literal."
"src/oarepo_model/customizations/high_level/add_service_component.py","Reimplemented as a thin subclass of AddToList (same dedup pattern as add_param_interpreter_cls.py)."
"src/oarepo_model/customizations/high_level/index_mapping.py","_add_to_mapping now deep-copies the mapping snippet before merging; deepmerge assigns unmatched values by reference, so without the copy a later mutation of the merged result could corrupt the caller's original snippet."
"src/oarepo_model/customizations/high_level/index_settings.py","List-valued settings are now merged by appending only the not-already-present items (order-preserving) instead of list(set(a) | set(b)), which discarded ordering and could reorder settings non-deterministically between runs."
"src/oarepo_model/customizations/high_level/set_permission_policy.py","Constructor names itself after the concrete permission-policy class instead of a fixed 'SetPermissionPolicy' literal; uses the new guarded set_base_classes/set_mixins builder methods instead of assigning to .base_classes/.mixins directly."
"src/oarepo_model/datatypes/base.py","Added default create_marshmallow_schema/create_ui_marshmallow_schema implementations that raise a clear NotImplementedError naming the type instead of having no method at all. get_facet gained an ignored_keys parameter (plumbed through FacetMixin/subclasses) letting an object-like type skip already-faceted keys when recursing into properties."
"src/oarepo_model/datatypes/boolean.py","Removed a no-op FormatBoolean.__init__ override that only called super().__init__(*args, **kwargs)."
"src/oarepo_model/datatypes/collections.py","Added NoItemsError and ArrayDataType._get_items (mirroring _get_properties), replacing direct element['items'] access across create_json_schema/create_mapping/visit/create_ui_model/create_relations/get_facet with a validated accessor. Added a shared _facet_child_path helper deduplicating path-suffix logic in ObjectDataType/NestedDataType. ObjectDataType._get_marshmallow_field_args now only injects 'nested' when the field class is actually Nested (previously always injected, causing marshmallow warnings for e.g. dynamic-object's Raw field). DynamicObjectDataType now sets marshmallow_field_class = Raw directly instead of overriding create_marshmallow_field by hand."
"src/oarepo_model/datatypes/date.py","Replaced the LRU-cached CachedMultilayerEDTFValidator (cached per raw string only, ignoring configured types) with MultilayerEDTFValidator, a regex-based fast path for strict YYYY-MM-DD/interval input that skips the slow EDTF grammar while still respecting configured accepted types. Introduced EDTFBaseDataType as a shared base for EDTFTimeDataType/EDTFDataType/EDTFIntervalType/EDTFDateOrIntervalDataType, deduplicating their near-identical create_ui_marshmallow_fields/_get_marshmallow_field_args bodies."
"src/oarepo_model/datatypes/entrypoints.py","Registers MultilingualDataType directly under its own TYPE key instead of via a synthetic 'multilingual-type'/'multilingual' shortcut pair."
"src/oarepo_model/datatypes/internal_relations.py","Renamed private helpers for clarity: _get_relation_model to _get_relation_model_name, _get_lazy_properties to _get_lazy_kwargs, _target_path to _get_target_path, _model to _get_current_model_name. No behavior change."
"src/oarepo_model/datatypes/lazy_relations.py","LazyModelPIDFieldContext gained a documented __getattr__ delegating to the real (lazily-resolved) target's PIDFieldContext, plus an explicit resolve override (resolve is defined on the base class so plain __getattr__ delegation would never fire for it). Makes the lazy wrapper usable as a real pid_field= for invenio's relation classes, which read .record_cls directly."
"src/oarepo_model/datatypes/multilingual.py","MultilingualDataType now overrides _get_items to default to an {'type': 'i18n'} item definition instead of relying on the removed 'multilingual-type' registry shortcut."
"src/oarepo_model/datatypes/numbers.py","Removed a no-op FormatNumber.__init__ override. Deduplicated IntegerDataType/LongDataType/FloatDataType's near-identical _get_marshmallow_field_args overrides (each only adding a Range validator) behind a shared range_bounds class attribute on NumberDataType."
"src/oarepo_model/datatypes/polymorphic.py","Raises ValueError for an empty oneof list instead of silently producing a schema with no branches. A variant whose datatype contributes no UI fields is now skipped instead of raising NotImplementedError. Added a real unknown_type default_error_messages entry and switched self.fail(...) (removed in newer marshmallow) to self.make_error(...) - an unknown discriminator value previously raised AssertionError instead of ValidationError."
"src/oarepo_model/datatypes/registry.py","add_types now checks isinstance(type_cls_or_dict, type) before issubclass (previously a non-class value raised a confusing TypeError from issubclass() itself instead of the intended descriptive error). The '[]' array-shortcut now strips the marker from the registered property name instead of leaving 'tags[]' as the literal field name in marshmallow/JSON-schema/mapping. Deduplicated from_json/from_yaml behind a shared _from_serialized(file_name, origin, load) helper."
"src/oarepo_model/datatypes/relations.py","Added PIDRelation._default_key_properties (overridable per subclass) replacing a hardcoded id/@v fallback dict. _get_properties restructured around a new _iter_key_entries/_key_names pair that normalizes the mixed string/dict keys list in one place, used by both _get_properties and _relation_key_names. Renamed _get_relation_model to _get_relation_model_name and _lookup_property to _lookup_target_element. Extracted _raise_missing_property as a dedicated NoReturn helper. Documented that a pid-relation only ever resolves published targets."
"src/oarepo_model/datatypes/spherical.py","Clarified a comment about the ra/dec <-> geo_point conversion; no behavior change."
"src/oarepo_model/datatypes/strings.py","KeywordDataType's 'required implies min_length=1' check now tests element.get('required') (a boolean) instead of 'required' in element - previously {'required': False} still forced min_length=1, the opposite of what was declared. Real bug fix."
"src/oarepo_model/datatypes/vocabularies.py","VocabularyDataType._resolve_keys (a stateful method mutating element['keys'] in place) replaced by overriding _default_key_properties (returning a plain dict, no mutation) on top of the new PIDRelation base-class hook."
"src/oarepo_model/datatypes/wrapped.py","Removed an unused self._impl attribute shadowed by the cached_property. create_marshmallow_schema/get_facet/create_ui_marshmallow_schema no longer need cast('ObjectDataType', ...) now that these methods exist on the base DataType contract."
"src/oarepo_model/presets/custom_fields/ext.py","CustomFieldsFeaturePreset reimplemented as feature_preset('custom-fields', ...) using the new factory in records_resources/ext.py."
"src/oarepo_model/presets/drafts/__init__.py","Removed FileRecordServiceComponentsPreset/MediaFilesRecordServiceConfigPreset from the files preset list (files deleted); added the new RecordWithMediaFilesSchemaPreset."
"src/oarepo_model/presets/drafts/ext.py","DraftsFilesFeaturePreset/DraftsRecordsFeaturePreset reimplemented via the new feature_preset(...) factory."
"src/oarepo_model/presets/drafts/ext_draft_files.py","Added 'services_registry_list' to modifies (the preset registers into that list; it was previously undeclared)."
"src/oarepo_model/presets/drafts/ext_draft_media_files.py","Added 'services_registry_list' to modifies."
"src/oarepo_model/presets/drafts/ext_media_files.py","Added 'services_registry_list' to modifies; switched its mixin's base from RecordWithFilesExtensionProtocol to the plain RecordExtensionProtocol (it doesn't need files_service)."
"src/oarepo_model/presets/drafts/files/file_draft.py","Reimplemented via a new shared file_record_preset(name, model_cls_name, record_cls_name) factory, removing a near-identical hand-written preset class."
"src/oarepo_model/presets/drafts/files/file_draft_metadata.py","Reimplemented via a new shared file_metadata_preset(name, table_suffix, record_model_cls_name) factory."
"src/oarepo_model/presets/drafts/files/media_file_draft.py","Reimplemented via the shared file_record_preset(...) factory."
"src/oarepo_model/presets/drafts/files/media_file_draft_metadata.py","Reimplemented via the shared file_metadata_preset(...) factory."
"src/oarepo_model/presets/drafts/files/media_file_metadata.py","Reimplemented via the shared file_metadata_preset(...) factory."
"src/oarepo_model/presets/drafts/files/media_file_record.py","Reimplemented via the shared file_record_preset(...) factory."
"src/oarepo_model/presets/drafts/services/files/media_files_record_service_components.py","Deleted; superseded by the new RecordWithMediaFilesSchemaPreset."
"src/oarepo_model/presets/drafts/services/files/media_files_record_service_config.py","Deleted; superseded by the new RecordWithMediaFilesSchemaPreset."
"src/oarepo_model/presets/drafts/services/files/record_with_media_files_schema.py","New file. New preset adding a media_files.enabled field to RecordSchema; without it the field was silently dropped as unknown, so a draft's media files could never be enabled through the API."
"src/oarepo_model/presets/drafts/records/draft_record.py","Renamed a lambda parameter that shadowed the RecordDumper class name (real N803/shadowing fix, no behavior change)."
"src/oarepo_model/presets/drafts/records/published_record_metadata_with_parent.py","Comment wording only."
"src/oarepo_model/presets/drafts/resources/files/draft_media_file_resource_config.py","Now sets routes to the new shared MEDIA_FILE_ROUTES mapping (/media-files...) instead of inheriting the plain /files... routes, which previously collided with the separate media-files blueprint."
"src/oarepo_model/presets/drafts/resources/files/media_file_resource_config.py","Added the MEDIA_FILE_ROUTES mapping (/media-files list/item/content/commit/archive routes); MediaFileResourceConfigPreset now additionally provides 'media_file_response_handlers'."
"src/oarepo_model/presets/drafts/services/files/draft_file_service_config.py","Added modifies = ('primary_record_service',)."
"src/oarepo_model/presets/drafts/services/files/draft_media_file_service_config.py","Added file_links_list/file_links_item (self/content/commit links), previously missing entirely for draft media files; documented why allow_upload differs between the draft and published configs."
"src/oarepo_model/presets/drafts/services/files/media_file_service_config.py","Added file_links_list/file_links_item (self/content links), previously missing entirely for published media files; added modifies = ('primary_record_service',)."
"src/oarepo_model/presets/drafts/services/records/draft_facets.py","Added 'facets' to modifies (it reads/patches the shared facets module without having declared it)."
"src/oarepo_model/presets/drafts/services/records/search_options.py","DraftSearchOptionsPreset now provides 'DraftFacetGroups'; params_interpreters_cls now delegates to the new shared resolve_params_interpreters helper instead of duplicating the facets-param-swap logic; the mixin now also inherits SearchDraftsOptions directly."
"src/oarepo_model/presets/drafts/services/records/service_config.py","links_search_drafts/links_search_versions now use getattr(super(), name, {}) instead of try/except AttributeError, via a shared LinksMapping type alias."
"src/oarepo_model/presets/internal_relations/ext.py","InternalRelationsFeaturePreset reimplemented via feature_preset(...)."
"src/oarepo_model/presets/records_resources/blueprints/records/app_blueprint.py","Fixed url_prefix=""/{model.slug}/"" (a literal, unformatted string) to an f-string. Real bug: every generated app blueprint's URL prefix was the literal text '{model.slug}' instead of the model's actual slug."
"src/oarepo_model/presets/records_resources/ext.py","Added the feature_preset(feature_key, version, base=...) factory eliminating 4+ near-identical <X>FeaturePreset classes across this and other preset modules. Split ExtPreset.apply into _build_ext_base/_build_services_mixin/_build_registry_initializer helpers. The registry-registration blueprint callback now uses registry.get(id)/KeyError instead of reaching into the registries' private _services/_indexers attributes. RecordExtensionProtocol is now plain object at runtime (previously a real Protocol base that could land in the generated Ext class's MRO and shadow the real implementation), with its structural type only used under TYPE_CHECKING."
"src/oarepo_model/presets/records_resources/ext_files.py","Same RecordWithFilesExtensionProtocol-becomes-object-at-runtime fix as ext.py. The 'files' feature version is now read from invenio_records_resources.__version__ instead of the misleading oarepo_model.__version__."
"src/oarepo_model/presets/records_resources/files/file_metadata.py","Introduced the file_metadata_preset(...) factory; FileMetadataPreset itself is now just one call to it."
"src/oarepo_model/presets/records_resources/files/file_record.py","Introduced the file_record_preset(...) factory; FileRecordPreset itself is now just one call to it."
"src/oarepo_model/presets/records_resources/files/file_record_model_mixin.py","Deleted; folded into the file_metadata_preset factory."
"src/oarepo_model/presets/records_resources/finalizers.py","FinalizationPreset now additionally provides 'finalizers'."
"src/oarepo_model/presets/records_resources/records/date_range_dumper_ext.py","DateRangeDumperExtPreset reimplemented as a one-line subclass of the new shared PathDumperExtPreset, instead of a hand-written apply() body duplicating spherical_dumper_ext.py's."
"src/oarepo_model/presets/records_resources/records/spherical_dumper_ext.py","ICRSDumperExtPreset reimplemented as a one-line subclass of the new shared PathDumperExtPreset."
"src/oarepo_model/presets/records_resources/records/path_dumper_ext.py","PathDumperExtBase.dump/load now mutate data in place and return None, matching invenio's actual SearchDumperExt contract (previously typed as returning the dict). Added the new shared PathDumperExtPreset base class factoring out the 'collect matching paths, add one dumper extension' logic used by both dumper presets."
"src/oarepo_model/presets/records_resources/records/record.py","Renamed a lambda parameter that shadowed the RecordDumper class name (real N803/shadowing fix, no behavior change)."
"src/oarepo_model/presets/records_resources/records/record_json_schema.py","Additionally provides 'record-jsonschema-link' alongside the existing 'record-jsonschema'."
"src/oarepo_model/presets/records_resources/records/record_mapping.py","Additionally provides 'record-mapping-link' alongside the existing 'record-mapping'."
"src/oarepo_model/presets/records_resources/resources/files/file_resource_config.py","FileResourceConfigPreset now additionally provides 'file_response_handlers'."
"src/oarepo_model/presets/records_resources/resources/records/error_handlers.py","Renamed an unused lambda parameter exc to _exc."
"src/oarepo_model/presets/records_resources/resources/records/imports.py","Replaced a lambda wrapping a runtime-dependency lookup with a named local function _get_deserializer, fixing a PLW0108 'useless lambda' smell while documenting why the wrapping itself is still needed (lazy proxy)."
"src/oarepo_model/presets/records_resources/resources/records/json_deserializer.py","Fixed provides = ('JSONDeserializerPreset',) to provides = ('JSONDeserializer',). Real bug: the preset declared it provided its own preset-class name instead of the partial it actually creates, so no other preset could correctly declare a dependency on it."
"src/oarepo_model/presets/records_resources/resources/records/register_ui_json_serializer.py","Replaced a lambda wrapping a runtime-dependency lookup with a named local function _get_ui_serializer, same PLW0108 fix as imports.py."
"src/oarepo_model/presets/records_resources/resources/records/resource_config.py","Deduplicated _merge_with_exports/_register_export and _merge_with_imports/_register_import (two parallel copies of 'lazily create and cache a handler, keyed by mimetype') behind shared generic _merge_into/_register_lazy helpers."
"src/oarepo_model/presets/records_resources/resources/records/signposting.py","Added modifies = ('exports',)."
"src/oarepo_model/presets/records_resources/services/files/file_service_config.py","Added modifies = ('primary_record_service',)."
"src/oarepo_model/presets/records_resources/services/records/metadata_facets.py","Added 'facets' to modifies."
"src/oarepo_model/presets/records_resources/services/records/params/spherical.py","Geocoding failures (GeopyError, e.g. a Nominatim outage) are now logged and re-raised as-is (surfaces as a 5xx) instead of being folded into the same QuerystringValidationError (400) used for a genuinely bad location name - previously a geocoder outage was incorrectly blamed on the user's input. Fixed icsr_* query parameter prefixes to the correct icrs_* spelling (a real naming bug). _pivot now raises QuerystringValidationError instead of using assert for an already-invalid distance value (asserts are stripped under -O)."
"src/oarepo_model/presets/records_resources/services/records/record_facets.py","Added 'facets' to provides."
"src/oarepo_model/presets/records_resources/services/records/results.py","Deduplicated RecordResultItemPreset/RecordResultListPreset's near-identical components mixin behind a shared _result_components_mixin(base, components_key, dependencies) helper."
"src/oarepo_model/presets/records_resources/services/records/search_options.py","Extracted the 'swap FacetsParam for GroupedFacetsParam, splice extra interpreters in before it' logic into a standalone resolve_params_interpreters function, reused by drafts/services/records/search_options.py. RecordSearchOptionsPreset now additionally provides 'FacetGroups'."
"src/oarepo_model/presets/records_resources/services/records/service_config.py","components override comment updated (ComponentsOrderingMixin now handles ordering). links_item/links_search_item/links_search now use getattr(super(), name, {}) instead of try/except AttributeError, via a shared LinksMapping type alias. Added 'primary_record_service' to provides and an explicit AddList('primary_record_service', exists_ok=True)."
"src/oarepo_model/presets/records_resources/services/records/ui_metadata_schema.py","Renamed an unused **kwargs to **_kwargs."
"src/oarepo_model/presets/relations/ext.py","RelationsFeaturePreset reimplemented via feature_preset(...)."
"src/oarepo_model/presets/sqlalchemy.py","Removed two unused Protocol classes (ModelWithBucket/ModelWithMediaBucket). Deduplicated bucket_func/media_bucket_func behind a shared _bucket_relationship(column_name) factory."
"src/oarepo_model/presets/ui/ext.py","UIFeaturePreset reimplemented via feature_preset(...)."
"src/oarepo_model/presets/ui/ui_ext.py","ui_blueprint_name is now only set on model_arguments when actually configured, instead of always being set to the literal string 'None' when unset, which previously produced a dead link/blueprint name."
"src/oarepo_model/presets/ui/ui_metadata.py","Removed patch=True from an AddToDictionary call whose value has no key= (patch=True is invalid there per the new AddToDictionary validation)."
"tests/api_tests/test_facets.py","test_draft_facets_preset_adds_is_published_facet now only requests app and facet_model instead of 6 unused fixtures (identity_simple, input_facets_data, search, search_clear, location, facet_service) - the assertion only checks a build-time attribute and never needed a live record or search backend."
"tests/api_tests/test_geo.py","Added test_geo_shape_param_geocoder_error_raises and expanded test_geo_distance_param_geocoder_error_raises to check the new upstream-vs-client-error split (5xx vs 400) and log message. Fixed test_geo_shape_param_invalid_value_raises to use actually-invalid WKT instead of a plain place name (which is geocodable, not invalid input) - a broken/tautological assertion being fixed to test what it claimed to."
"tests/api_tests/test_icsr.py","Renamed every icsr_*-prefixed test name and query-parameter literal to icrs_*, matching the spelling fix in params/spherical.py."
"tests/api_tests/test_relations.py","Parametrized the three _relation_pid_field ValueError-message tests into one test_relation_pid_field_raises_value_error. Renamed references to match _lookup_property -> _lookup_target_element."
"tests/api_tests/test_ui_links.py","Split the '...not in res.json[""links""]  # not ready yet' assertion into its own test_ui_links_user_listing_has_self_html, marked @pytest.mark.xfail(strict=True) so it fails loudly (XPASS) instead of silently staying green once the feature ships."
"tests/conftest.py","Added a _build_model(name, types, presets, customizations, **kwargs) helper and rewrote all 24 session-scoped model-building fixtures to use it, removing ~260 lines of repeated model(...)/register()/timing/logging boilerplate."
"tests/customizations/test_dictionary.py","Added test_add_to_dictionary_missing_dictionary_raises, test_add_to_dictionary_patch_without_key_raises, test_add_to_dictionary_patch_with_exists_ok_raises, covering the new AddToDictionary validation and get_dictionary (not auto-creating) behavior."
"tests/customizations/test_facet_group.py","Added test_add_facet_group_missing_dictionaries_raise / missing_draft_dictionaries_raise covering the new get_dictionary-based (not auto-creating) behavior; deduplicated repeated MagicMock/InvenioModelBuilder setup via a _facet_builder() helper."
"tests/customizations/test_list.py","Added test_add_to_list_missing_list_raises, covering the new get_list-based (not auto-creating) behavior."
"tests/customizations/test_synthetic_metadata.py","Replaced lambdas assigned to a variable (an E731 lint smell) with equivalent def functions."
"tests/datatypes/test_collections.py","Renamed from test_collections_extra.py (this session). Added test_array_bracket_shortcut_at_top_level and test_array_bracket_shortcut_facet_path_has_no_marker, covering the '[]' shortcut name-stripping fix in registry.py. Replaced a blanket '# ruff: noqa: D102' with a docstring on every test method."
"tests/datatypes/test_dynamic_object.py","Removed the blanket '# ruff: noqa: D102, SLF001'; added a docstring to the dynamic_field fixture."
"tests/datatypes/test_edtf_validator.py","New file. Tests for the regex-based MultilayerEDTFValidator fast path in datatypes/date.py."
"tests/datatypes/test_lazy_relations.py","Added a large new test block for LazyModelPIDFieldContext: attribute delegation, unknown-attribute AttributeError, explicit resolve delegation, __deepcopy__ not resolving the target, and an end-to-end invenio PIDRelation.parse_value integration test."
"tests/datatypes/test_multilingual.py","Removed the blanket '# ruff: noqa: D102'; added a docstring to every test method."
"tests/datatypes/test_numbers.py","Renamed from test_numbers_extra.py (this session); replaced a blanket '# ruff: noqa: D102' with per-test docstrings."
"tests/datatypes/test_registry.py","Renamed from test_registry_extra.py (this session). Added test_scalar_content_raises_type_error for both from_json/from_yaml; tightened add_types error assertions to match='Expected a dict or a subclass of DataType' instead of a bare pytest.raises(TypeError)."
"tests/datatypes/test_schemas.py","Added assertions that a bare date and a non-chronological interval are rejected by edtf-interval. Added test_polymorphic_field_unknown_discriminator, a regression test for the AssertionError-to-ValidationError fix in polymorphic.py."
"tests/datatypes/test_strings.py","Renamed from test_strings_extra.py (this session); replaced a blanket '# ruff: noqa: D102' with per-test docstrings."
"tests/datatypes/test_ui_schemas.py","Added test_polymorphic_ui_schema_variant_without_ui_fields and test_polymorphic_ui_schema_empty_oneof_raises, covering the polymorphic.py fixes."
"tests/test_builder.py","Removed the BuilderConstant test (class deleted). Added extensive new coverage: BuilderModule callable/staticmethod/classmethod/CachedDescriptor/LocalProxy handling, entry-point add/remove/overwrite, add_field/set_mixins/set_base_classes, pre- vs post-build mutation (silent vs PostBuildMutationWarning), and parametrized wrong-kind-partial-lookup tests. Also (this session) parametrized the 7 add_*_multiple_times tests and split/renamed the misleading add_mixins(object)/add_base_classes(object) post-build-guard assertions."
"tests/test_cli.py","Removed a stale '# type: ignore[override]' comment."
"tests/test_dumper_ext_paths.py","New file (this session), merged from the deleted test_icrs_dumper.py/test_date_range_dumper.py; the registration test is now parametrized over both dumper types."
"tests/test_icrs_dumper.py","Deleted (this session); merged into tests/test_dumper_ext_paths.py."
"tests/test_ext_protocol.py","New file. Tests for RecordExtensionProtocol's runtime-object / type-checking-only split in presets/records_resources/ext.py."
"tests/test_lazy.py","Annotated a mutable class attribute (extra_fields) with Mapping[str, Any] instead of a bare '# noqa: RUF012'."
"tests/test_model_api.py","Added test_run_checks_accepts_valid_sqlalchemy_model and test_run_checks_error_path_names_the_model, covering the run_checks(model, namespace) signature/bug fix in api.py."
"tests/test_model_metadata_registration_presets.py","Updated the expected types dict to drop the removed 'multilingual-type' registry shortcut."
"tests/test_record_results.py","New file (this session). Direct unit test for _result_components_mixin's read-only components setter."
"tests/test_register.py","New file. Tests for register_model/unregister_model, including module purge and re-registration idempotency."
"tests/test_search_options.py","New file. Tests for resolve_params_interpreters in presets/records_resources/services/records/search_options.py."
"tests/test_sorter.py","New file. Tests for check_preset_declarations and the provider-ordering fix in sorter.py."
"tests/test_ui_ext.py","New file. Tests for the ui_blueprint_name fix in presets/ui/ui_ext.py."
"tests/test_utils.py","Added tests for deepcopy_to_plain (renamed from deeply_copy_to_mutable), title_case (including the 'no letters or digits' ValueError and acronym preservation), convert_to_python_identifier's always-a-valid-identifier guarantee, and nested/list-append readonly_dict_merger cases."
"tests/customizations/test_base.py","New file. Tests for the modifies/modifies_own_name declaration contract in customizations/base.py."
"tests/customizations/test_class_partials_built.py","New file. Tests that a depends_on partial is built early enough that a preset mutating it afterwards fails loudly (ApplyCustomizationError) instead of silently losing the change."
"tests/customizations/test_entry_point.py","New file. Tests for AddEntryPoint, including value=None removal."
"tests/customizations/test_modifies_declaration.py","New file. Tests for the deprecated name-based modifies fallback and its deprecation warning."
"tests/customizations/test_patch_json_file.py","New file. Tests for PatchJSONFile, including the deep-copy-before-merge fix."
"tests/customizations/test_user_customization_order.py","New file. Tests for the fixed customization-before-preset ordering check (matching by modifies, not name)."
"tests/api_tests/test_media_file_resource.py","New file. Integration tests for the media-files routes/links fixes (media_file_resource_config.py, draft_media_file_service_config.py, media_file_service_config.py)."
"tests/test_app_blueprint.py","New file. Tests for the url_prefix f-string fix in presets/records_resources/blueprints/records/app_blueprint.py."
